,p-values class
50,0.6786427145708582
50,0.1317365269461078
50,0.8423153692614771
50,0.874251497005988
50,0.6487025948103793
50,0.9101796407185628
50,0.782435129740519
50,0.14171656686626746
50,0.46107784431137727
50,0.9021956087824351
60,0.2954091816367265
60,0.5968063872255489
60,0.780439121756487
60,0.5069860279441117
60,0.29141716566866266
60,0.23353293413173654
60,0.4231536926147705
60,0.998003992015968
60,0.7085828343313373
60,0.8862275449101796
70,0.1536926147704591
70,0.7265469061876247
70,0.9840319361277445
70,0.6347305389221557
70,0.021956087824351298
70,0.6147704590818364
70,0.590818363273453
70,0.8962075848303394
70,0.47105788423153694
70,0.4251497005988024
80,0.8083832335329342
80,0.7385229540918163
80,0.7744510978043913
80,0.5269461077844312
80,0.04590818363273453
80,0.19760479041916168
80,0.7005988023952096
80,0.8702594810379242
80,0.5149700598802395
80,0.7664670658682635
90,0.1317365269461078
90,0.25149700598802394
90,0.718562874251497
90,0.5728542914171657
90,0.1157684630738523
90,0.3932135728542914
90,0.7884231536926147
90,0.4091816367265469
90,0.16766467065868262
90,0.3652694610778443
100,0.46706586826347307
100,0.8003992015968064
100,0.5389221556886228
100,0.4291417165668663
100,0.8023952095808383
100,0.5429141716566867
100,0.718562874251497
100,0.8842315369261478
100,0.8023952095808383
100,0.6447105788423154
110,0.7245508982035929
110,0.39520958083832336
110,0.42714570858283435
110,0.5688622754491018
110,0.8962075848303394
110,0.2934131736526946
110,0.8323353293413174
110,0.3712574850299401
110,0.44510978043912175
110,0.5548902195608783
120,0.2874251497005988
120,0.34331337325349304
120,0.4431137724550898
120,0.35129740518962077
120,0.29141716566866266
120,0.1217564870259481
120,0.8043912175648703
120,0.5369261477045908
120,0.41916167664670656
120,0.5888223552894212
130,0.27944111776447106
130,0.41317365269461076
130,0.8183632734530938
130,0.812375249500998
130,0.14171656686626746
130,0.8483033932135728
130,0.6107784431137725
130,0.4750499001996008
130,0.4870259481037924
130,0.11177644710578842
140,0.03592814371257485
140,0.07784431137724551
140,0.9121756487025948
140,0.49500998003992014
140,0.5768463073852296
140,0.29740518962075846
140,0.7584830339321357
140,0.5269461077844312
140,0.6447105788423154
140,0.8822355289421158
150,0.10578842315369262
150,0.7445109780439122
150,0.06986027944111776
150,0.10778443113772455
150,0.5668662674650699
150,0.22355289421157684
150,0.3393213572854291
150,0.2694610778443114
150,0.9880239520958084
150,0.7105788423153693
160,0.5229540918163673
160,0.07984031936127745
160,0.24750499001996007
160,0.6646706586826348
160,0.3073852295409182
160,0.6706586826347305
160,0.5249500998003992
160,0.17564870259481039
160,0.07784431137724551
160,0.4251497005988024
170,0.08383233532934131
170,0.09780439121756487
170,0.08782435129740519
170,0.14171656686626746
170,0.8303393213572854
170,0.2934131736526946
170,0.18762475049900199
170,0.16966067864271456
170,0.7744510978043913
170,0.1936127744510978
180,0.5069860279441117
180,0.37924151696606784
180,0.0499001996007984
180,0.04590818363273453
180,0.02594810379241517
180,0.07784431137724551
180,0.8862275449101796
180,0.22954091816367264
180,0.7265469061876247
180,0.0998003992015968
190,0.8622754491017964
190,0.5469061876247505
190,0.6007984031936128
190,0.25149700598802394
190,0.2714570858283433
190,0.6666666666666666
190,0.08183632734530938
190,0.2315369261477046
190,0.8403193612774451
190,0.7345309381237525
200,0.35129740518962077
200,0.3153692614770459
200,0.37924151696606784
200,0.6407185628742516
200,0.17964071856287425
200,0.9161676646706587
200,0.11776447105788423
200,0.9560878243512974
200,0.688622754491018
200,0.2894211576846307
