,p-values class
50,0.44510978043912175
50,0.7265469061876247
50,0.03592814371257485
50,0.3772455089820359
50,0.9600798403193613
50,0.9580838323353293
50,0.590818363273453
50,0.8882235528942116
50,0.5548902195608783
50,0.6846307385229541
60,0.9620758483033932
60,0.4750499001996008
60,0.3532934131736527
60,0.3373253493013972
60,0.15568862275449102
60,0.6147704590818364
60,0.3473053892215569
60,0.906187624750499
60,0.46107784431137727
60,0.3772455089820359
70,0.656686626746507
70,0.6666666666666666
70,0.9041916167664671
70,0.9660678642714571
70,0.8782435129740519
70,0.19760479041916168
70,0.6846307385229541
70,0.46107784431137727
70,0.8962075848303394
70,0.9261477045908184
80,0.8842315369261478
80,0.3712574850299401
80,0.5528942115768463
80,0.718562874251497
80,0.3473053892215569
80,0.564870259481038
80,0.01996007984031936
80,0.26147704590818366
80,0.20359281437125748
80,0.5848303393213573
90,0.9880239520958084
90,0.562874251497006
90,0.00998003992015968
90,0.8882235528942116
90,0.10578842315369262
90,0.1996007984031936
90,0.3772455089820359
90,0.18163672654690619
90,0.2894211576846307
90,0.26147704590818366
100,0.499001996007984
100,0.9580838323353293
100,0.8542914171656687
100,0.2554890219560878
100,0.8403193612774451
100,0.09181636726546906
100,0.4151696606786427
100,0.28542914171656686
100,0.06786427145708583
100,0.5369261477045908
110,0.5768463073852296
110,0.27944111776447106
110,0.9960079840319361
110,0.029940119760479042
110,0.3872255489021956
110,0.0499001996007984
110,0.3193612774451098
110,0.2055888223552894
110,0.27345309381237526
110,0.93812375249501
120,0.7085828343313373
120,0.08183632734530938
120,0.1377245508982036
120,0.021956087824351298
120,0.01996007984031936
120,0.8562874251497006
120,0.1157684630738523
120,0.40119760479041916
120,0.07784431137724551
120,0.780439121756487
130,0.8522954091816367
130,0.45708582834331335
130,0.35129740518962077
130,0.44510978043912175
130,0.3413173652694611
130,0.8602794411177644
130,0.1936127744510978
130,0.33532934131736525
130,0.34331337325349304
130,0.027944111776447105
140,0.720558882235529
140,0.9001996007984032
140,0.1656686626746507
140,0.5948103792415169
140,0.6726546906187625
140,0.8962075848303394
140,0.2554890219560878
140,0.4930139720558882
140,0.11377245508982035
140,0.7984031936127745
150,0.3772455089820359
150,0.18562874251497005
150,0.47704590818363274
150,0.7504990019960079
150,0.12375249500998003
150,0.49500998003992014
150,0.5449101796407185
150,0.3532934131736527
150,0.9800399201596807
150,0.0499001996007984
160,0.9121756487025948
160,0.5948103792415169
160,0.4750499001996008
160,0.908183632734531
160,0.780439121756487
160,0.8423153692614771
160,0.624750499001996
160,0.48902195608782434
160,0.1217564870259481
160,1.0
170,0.36127744510978044
170,0.4930139720558882
170,0.9900199600798403
170,0.25748502994011974
170,0.2774451097804391
170,0.4111776447105788
170,0.9101796407185628
170,0.18562874251497005
170,0.06986027944111776
170,0.06387225548902195
180,0.18363273453093812
180,0.6726546906187625
180,0.7524950099800399
180,0.4471057884231537
180,0.8962075848303394
180,0.846307385229541
180,0.4111776447105788
180,0.2554890219560878
180,0.5828343313373253
180,0.7105788423153693
190,0.10778443113772455
190,0.3652694610778443
190,0.7485029940119761
190,0.6806387225548902
190,0.9720558882235529
190,0.18962075848303392
190,0.29740518962075846
190,0.6766467065868264
190,0.5608782435129741
190,0.5548902195608783
200,0.38323353293413176
200,0.20958083832335328
200,0.4411177644710579
200,0.716566866267465
200,0.4291417165668663
200,0.35129740518962077
200,0.033932135728542916
200,0.782435129740519
200,0.872255489021956
200,0.4171656686626746
